puzzle,height,width,pop_size,generations,elite_frac,crowd_ratio,tsize,m_parents,seed,best_fitness,avg_fitness,std_fitness,runtime
letterP.non,11,8,50,800,0.1,0.2,4,4,42,17.6,17.6,0.0,8.984081745147705
letterP.non,11,8,100,800,0.1,0.2,4,4,42,17.6,17.599999999999994,7.105427357601002e-15,18.297935962677002
letterP.non,11,8,200,800,0.1,0.2,4,4,42,17.6,17.599999999999994,7.105427357601002e-15,35.856820821762085
letterP.non,11,8,400,800,0.1,0.2,4,4,42,17.6,17.599999999999994,7.105427357601002e-15,69.46437764167786
spade.non,23,23,50,800,0.1,0.2,4,4,42,1.843205574912892,1.6953578221712364,0.0650256288912026,40.65585708618164
spade.non,23,23,100,800,0.1,0.2,4,4,42,3.526666666666667,2.6619979455044502,0.18746733769089452,82.45512270927429
spade.non,23,23,200,800,0.1,0.2,4,4,42,3.0228571428571427,2.4393206370768477,0.12632169391564974,162.12554383277893
spade.non,23,23,400,800,0.1,0.2,4,4,42,1.988721804511278,1.6601311345562209,0.06736473818004937,321.5599808692932
UofL.non,23,45,50,800,0.1,0.2,4,4,42,2.789757412398922,2.6151294092325488,0.0542008748283275,79.56470680236816
UofL.non,23,45,100,800,0.1,0.2,4,4,42,3.520408163265306,3.2554550783696903,0.08706128766145058,146.50207805633545
UofL.non,23,45,200,800,0.1,0.2,4,4,42,3.338709677419355,3.138054610532657,0.05729412864465837,313.94717669487
UofL.non,23,45,400,800,0.1,0.2,4,4,42,2.899159663865546,2.7067359500733295,0.042158062793846894,610.327568769455
letterP.non,11,8,200,800,0.1,0.1,4,4,42,17.6,17.599999999999994,7.105427357601002e-15,35.09239649772644
letterP.non,11,8,200,800,0.1,0.2,4,4,42,17.6,17.599999999999994,7.105427357601002e-15,34.82695746421814
letterP.non,11,8,200,800,0.1,0.4,4,4,42,17.6,17.599999999999994,7.105427357601002e-15,35.72141075134277
spade.non,23,23,200,800,0.1,0.1,4,4,42,2.9226519337016574,2.3038551992565868,0.12972904302807306,179.04842519760132
spade.non,23,23,200,800,0.1,0.2,4,4,42,3.0228571428571427,2.4393206370768477,0.12632169391564974,180.94527173042297
spade.non,23,23,200,800,0.1,0.4,4,4,42,3.1488095238095237,2.6668085729312594,0.1661189569034402,182.76259660720825
UofL.non,23,45,200,800,0.1,0.1,4,4,42,3.035190615835777,2.8491070989775813,0.04605574906411943,341.2520022392273
UofL.non,23,45,200,800,0.1,0.2,4,4,42,3.338709677419355,3.138054610532657,0.05729412864465837,347.19531416893005
UofL.non,23,45,200,800,0.1,0.4,4,4,42,3.098802395209581,2.8213933579105275,0.053172558261218604,284.2451984882355
letterP.non,11,8,200,800,0.1,0.2,4,2,42,17.6,17.599999999999994,7.105427357601002e-15,31.77173614501953
letterP.non,11,8,200,800,0.1,0.2,4,4,42,17.6,17.599999999999994,7.105427357601002e-15,34.119428396224976
letterP.non,11,8,200,800,0.1,0.2,4,6,42,17.6,17.599999999999994,7.105427357601002e-15,35.65833926200867
spade.non,23,23,200,800,0.1,0.2,4,2,42,2.5311004784688995,1.9684566512140003,0.1308513446079614,147.84723114967346
spade.non,23,23,200,800,0.1,0.2,4,4,42,3.0228571428571427,2.4393206370768477,0.12632169391564974,153.42938137054443
spade.non,23,23,200,800,0.1,0.2,4,6,42,1.6740506329113924,1.4961399354292229,0.04559793416856178,151.42338180541992
UofL.non,23,45,200,800,0.1,0.2,4,2,42,3.4731543624161074,3.0333299184339633,0.07994345934948029,266.60793828964233
UofL.non,23,45,200,800,0.1,0.2,4,4,42,3.338709677419355,3.138054610532657,0.05729412864465837,252.50002932548523
UofL.non,23,45,200,800,0.1,0.2,4,6,42,2.688311688311688,2.5748167239943327,0.03158215081325077,257.5069942474365
