generation,best,avg,std,worst
0,0.7074504442925497,0.65716591420056,0.014168675611031453,0.6157049375371803
1,1.0087719298245614,0.8267747934727329,0.07008161375216977,0.6760287393860223
2,1.4178082191780823,1.1798688509532613,0.10167754685918418,0.913503971756399
3,1.8351063829787233,1.552014668074777,0.10403128357582583,1.2921348314606742
4,2.07,1.7650546226087147,0.09069164956158732,1.6402535657686212
5,2.336343115124153,1.9115703532694588,0.08923956840589076,1.8
6,2.352272727272727,2.0076099861104764,0.08669872702596008,1.8990825688073396
7,2.352272727272727,2.0694334698837333,0.07371442247311723,1.9789674952198852
8,2.3903002309468824,2.1014197334737306,0.07011028204466761,2.017543859649123
9,2.4182242990654204,2.1286244164978565,0.06707818953923332,2.0454545454545454
10,2.4182242990654204,2.152750345833379,0.06325033157627695,2.078313253012048
11,2.4642857142857144,2.169457998602199,0.0647758599337227,2.0951417004048585
12,2.4642857142857144,2.186538038799182,0.06401248971606788,2.112244897959184
13,2.476076555023923,2.2024732453888114,0.06707494565741375,2.1252566735112937
14,2.476076555023923,2.21280489560784,0.0658507879970301,2.138429752066116
15,2.476076555023923,2.223055944425842,0.06470236706910015,2.1473029045643153
16,2.476076555023923,2.2359725085410895,0.06273369288537833,2.1652719665271967
17,2.476076555023923,2.246066171881562,0.06152476541923563,2.1789473684210527
18,2.476076555023923,2.254770070293524,0.06054256789690186,2.1881606765327697
19,2.476076555023923,2.2604279799151636,0.05966235876358161,2.1927966101694913
20,2.4820143884892083,2.2680028921736595,0.05913122403102528,2.2021276595744683
21,2.4820143884892083,2.2763100533267813,0.05821803775763334,2.20682302771855
22,2.4820143884892083,2.2830880932682547,0.057377848882768416,2.2162740899357605
23,2.536764705882353,2.2905370773109213,0.0578911853446574,2.225806451612903
24,2.536764705882353,2.2976852298379224,0.05631607480725391,2.230603448275862
25,2.536764705882353,2.307374603476681,0.05519182154485909,2.24025974025974
26,2.536764705882353,2.3135088826262145,0.053066472651246525,2.25
27,2.536764705882353,2.3194634811337997,0.05249142636486272,2.254901960784314
28,2.536764705882353,2.3239126929458522,0.05286368058712391,2.259825327510917
29,2.536764705882353,2.3278311052546967,0.05174851578796275,2.264770240700219
30,2.536764705882353,2.331398137902398,0.05159611940216082,2.269736842105263
31,2.536764705882353,2.3353513375782313,0.050052457158295906,2.2747252747252746
32,2.536764705882353,2.339488685903008,0.05002054819024313,2.2797356828193833
33,2.536764705882353,2.342962879418686,0.04996127984633511,2.2797356828193833
34,2.536764705882353,2.346680041766759,0.049385991515939864,2.2898230088495577
35,2.600502512562814,2.350202712873118,0.051026001991801524,2.2898230088495577
36,2.600502512562814,2.3544126102482217,0.04921715601150853,2.29490022172949
37,2.600502512562814,2.3575718598107813,0.04817785673571642,2.3
38,2.600502512562814,2.3631006825347045,0.05000965402108556,2.305122494432071
39,2.600502512562814,2.365341103626942,0.04973821967276531,2.305122494432071
40,2.600502512562814,2.3696427858533355,0.05011283934830676,2.310267857142857
41,2.600502512562814,2.373233001065888,0.05000502498378258,2.315436241610738
42,2.600502512562814,2.377082427108283,0.05063062994569681,2.315436241610738
43,2.600502512562814,2.3816522156414535,0.05052336176014053,2.3258426966292136
44,2.600502512562814,2.3851390109152555,0.05067055719566717,2.3258426966292136
45,2.600502512562814,2.388286406992257,0.05102293835404601,2.331081081081081
46,2.600502512562814,2.39254207439263,0.05057709164386063,2.331081081081081
47,2.600502512562814,2.3954764048292696,0.050000526680089086,2.336343115124153
48,2.600502512562814,2.399123819891535,0.05037839660667241,2.341628959276018
49,2.600502512562814,2.4022702254625767,0.05082666563825522,2.3469387755102042
50,2.600502512562814,2.404134304958872,0.0507486601195865,2.352272727272727
51,2.600502512562814,2.407050469326116,0.050674829069834115,2.352272727272727
52,2.600502512562814,2.4087251863047014,0.05022213226977337,2.352272727272727
53,2.600502512562814,2.4114050293122995,0.04960014221452385,2.357630979498861
54,2.600502512562814,2.41346553096857,0.04914194211015509,2.357630979498861
55,2.600502512562814,2.417493034016193,0.04953785766632341,2.357630979498861
56,2.6606683804627247,2.4213323754179688,0.05166387477374715,2.363013698630137
57,2.6606683804627247,2.423158334112628,0.05134297104878221,2.363013698630137
58,2.6606683804627247,2.4263426069190497,0.051160404246589616,2.3684210526315788
59,2.6606683804627247,2.429280275101892,0.05030602736631151,2.3738532110091746
60,2.6606683804627247,2.4307097588365862,0.05007827481954091,2.3738532110091746
61,2.6606683804627247,2.4339307957182315,0.05071480689403176,2.3793103448275863
62,2.6606683804627247,2.436132875322522,0.05068171742360576,2.3793103448275863
63,2.6606683804627247,2.4376851152665493,0.05008361008401589,2.3793103448275863
64,2.6606683804627247,2.4396445633951096,0.05029100996228596,2.3847926267281108
65,2.6606683804627247,2.442145893556381,0.05031817779192287,2.3847926267281108
66,2.6606683804627247,2.4435849830976903,0.04957507845808236,2.3903002309468824
67,2.6606683804627247,2.4445944788971485,0.04958827867760399,2.3903002309468824
68,2.6606683804627247,2.4462325106153457,0.04904513330471469,2.395833333333333
69,2.7822580645161294,2.449156117123976,0.05153521857535332,2.395833333333333
70,2.7822580645161294,2.4502739755101834,0.051249809436236686,2.395833333333333
71,2.7822580645161294,2.4524006539156473,0.05078026030293218,2.395833333333333
72,2.7822580645161294,2.453610566510794,0.050531808974245654,2.4013921113689096
