generation,best,avg,std,worst
0,0.7006622516556291,0.6426270821608717,0.01944683779457257,0.5957207207207207
1,0.8743801652892562,0.7322106387486821,0.038837733745312346,0.6713197969543147
2,1.0095419847328244,0.8694862463217022,0.044741879466953224,0.78486646884273
3,1.1575492341356675,1.0071073698830406,0.05083311339983361,0.9280701754385965
4,1.293398533007335,1.125440411871687,0.045323057539355074,1.0622489959839356
5,1.4453551912568305,1.2242462640630993,0.052570207272636685,1.1550218340611353
6,1.632716049382716,1.3340754110147006,0.06827653076683066,1.2535545023696684
7,1.632716049382716,1.4286341098718711,0.06308227195112798,1.3494897959183672
8,1.7175324675324677,1.489277486468697,0.05981056537506843,1.4144385026737967
9,1.7458745874587458,1.5324372443513752,0.056775662363881665,1.4653739612188366
10,1.856140350877193,1.5899200203631012,0.06865876361455835,1.5157593123209168
11,1.896057347670251,1.652369847233133,0.07407670041887335,1.5650887573964496
12,2.019083969465649,1.7086023117682265,0.07461423948992371,1.6226993865030674
13,2.0268199233716473,1.7606999679095388,0.07502752689221553,1.6740506329113924
14,2.074509803921569,1.808577234918036,0.07930008183892508,1.7175324675324677
15,2.150406504065041,1.8534390226229716,0.07598611810437246,1.7574750830564785
16,2.2041666666666666,1.8988678545881368,0.07607134976528059,1.7993197278911564
17,2.3828828828828827,1.9209408444504015,0.07736334188384326,1.8304498269896194
18,2.3828828828828827,1.9507232713391573,0.07759255960310088,1.8626760563380282
19,2.3828828828828827,1.9840487322124845,0.0788108731942099,1.896057347670251
20,2.3828828828828827,2.0150475579692646,0.07843223988337221,1.9306569343065694
21,2.3828828828828827,2.0376427502582506,0.07598931400878468,1.952029520295203
22,2.3828828828828827,2.0557495534642447,0.07584698425148442,1.9738805970149254
23,2.3828828828828827,2.0771520144427593,0.07993529120514145,1.988721804511278
24,2.3828828828828827,2.099013804726763,0.08334699193457652,2.003787878787879
25,2.3828828828828827,2.113127957388764,0.08051665203321029,2.019083969465649
26,2.415525114155251,2.13262072276404,0.08019774422790174,2.034615384615385
27,2.5071090047393367,2.14407032065624,0.08112046095729461,2.050387596899225
28,2.5071090047393367,2.15975289628384,0.07902344228900285,2.06640625
29,2.5071090047393367,2.1735544295983376,0.07381873098789016,2.0826771653543306
30,2.5071090047393367,2.1821440493739965,0.07183605761201955,2.0992063492063493
31,2.5071090047393367,2.194284618916662,0.07038907045176665,2.1075697211155378
32,2.5071090047393367,2.2033395644634117,0.06948221777959049,2.116
33,2.5071090047393367,2.2167451333865587,0.0726895560542811,2.133064516129032
34,2.605911330049261,2.227471981021517,0.07492414784281197,2.1417004048582995
35,2.605911330049261,2.2324967359956984,0.07512410884181188,2.150406504065041
36,2.605911330049261,2.249061909576665,0.07889060288779608,2.168032786885246
37,2.605911330049261,2.2519999816392815,0.07855538811298522,2.168032786885246
38,2.605911330049261,2.264065116270369,0.07853219659537854,2.1769547325102883
39,2.605911330049261,2.2701627024529136,0.07619788844840779,2.1859504132231407
40,2.605911330049261,2.2788810607370227,0.0760012965573987,2.1859504132231407
41,2.605911330049261,2.2828517518969833,0.07523053792374043,2.195020746887967
42,2.605911330049261,2.2916693479979475,0.07341976248997915,2.2041666666666666
43,2.605911330049261,2.298643465810055,0.07325087556732512,2.213389121338912
44,2.605911330049261,2.3017431103868553,0.07173170353136,2.213389121338912
45,2.605911330049261,2.305376839812051,0.07061072805841287,2.222689075630252
46,2.605911330049261,2.3127830829649163,0.0709171673801868,2.232067510548523
47,2.605911330049261,2.3154568670793254,0.07175606251350736,2.232067510548523
48,2.605911330049261,2.323780619238336,0.07355475446021803,2.2415254237288136
49,2.605911330049261,2.3287506672130345,0.07384691355424138,2.2510638297872343
