generation,best,avg,std,worst
0,0.7690730106644791,0.7381628334549695,0.010007591723604395,0.7102272727272727
1,0.8230904302019315,0.7695190280803712,0.013817854749514982,0.7506004803843074
2,0.8852691218130312,0.8165470589211534,0.014809550568727174,0.7904721753794266
3,0.898418782942022,0.8630944081625824,0.014169539790742092,0.8355614973262031
4,0.9284476355533549,0.89160846585267,0.011550076267059672,0.8763729843421361
5,0.9467306235799041,0.9133154625430671,0.009919198610115266,0.898849472674976
6,0.9699948266942576,0.9277864848105664,0.009588095901258914,0.91552734375
7,0.9702457956015524,0.9384617033918994,0.009130517911920079,0.927070457354759
8,0.976816879395676,0.9467927218789476,0.008806451114956646,0.93562874251497
9,0.9871018689128718,0.9531733878992767,0.008062128849884312,0.9433962264150942
10,0.9912767644726407,0.959935266549693,0.008117849930810103,0.9496074955684983
11,0.9912767644726407,0.9650757350638295,0.007685969977642087,0.9556574923547402
12,0.9928514694201748,0.9699833578756167,0.007075574382783985,0.9605532786885247
13,1.0005336179295625,0.9740789093368051,0.0065795600332807114,0.9664948453608248
14,1.0005336179295625,0.9775204572932253,0.006296505187601813,0.969493278179938
15,1.0018701576275715,0.9809037853581326,0.006365075597213234,0.9732675837010121
16,1.0107816711590298,0.9841778418418855,0.006658820354736114,0.975800156128025
17,1.0110541925047183,0.9877078194561968,0.006655066678267195,0.9801359121798222
18,1.0201305767138193,0.9906373030173817,0.007293847802020606,0.9827044025157233
19,1.027678816114004,0.9938956524655057,0.008022724997802697,0.9855453350854139
20,1.027678816114004,0.9975866252696994,0.008220729981463103,0.9878819810326659
21,1.027678816114004,1.001263243836546,0.007639782413691905,0.9923260121725324
22,1.0359116022099448,1.004055672808075,0.007867673324971038,0.994431185361973
23,1.0359116022099448,1.0066219666581924,0.007101531155326482,0.9976057462090983
24,1.0405105438401776,1.0085113112549728,0.006911621042081633,1.0002667377967458
25,1.0405105438401776,1.0106895655953105,0.006599355381684685,1.0026737967914439
26,1.0405105438401776,1.012027203544525,0.006594075988953117,1.0042849491162291
27,1.0416666666666667,1.014058360856004,0.006762776449567213,1.0064412238325282
28,1.0416666666666667,1.0158850865822548,0.006665828130292417,1.0083355740790536
29,1.042535446205171,1.017806723301198,0.00677723282569134,1.0099649878804202
30,1.042535446205171,1.0195645875693162,0.00663163935718549,1.0115996762881037
31,1.042535446205171,1.0206671109401946,0.006375980792182686,1.012965964343598
32,1.0495382031905962,1.021844688418908,0.006591446196954944,1.0143359480659995
33,1.0495382031905962,1.0236619301391932,0.006821227453849501,1.016260162601626
34,1.0495382031905962,1.0248702902986944,0.006597728728118778,1.0173629951166576
35,1.0495382031905962,1.0259037458395286,0.006516381843199071,1.018191691555797
36,1.0495382031905962,1.0270297534140895,0.006470222396985975,1.0195758564437194
37,1.0510089686098654,1.0281954480422417,0.006695029453015408,1.0204081632653061
38,1.0510089686098654,1.0290588798912135,0.006482793580553187,1.0215200217924272
39,1.0510089686098654,1.0303400287412718,0.006517964480462351,1.0226343059721843
40,1.056933483652762,1.031397876005584,0.0068172846224977615,1.023471615720524
41,1.0611205432937183,1.0326879667245914,0.007193835258958372,1.0243102977328598
