generation,best,avg,std,worst
0,0.946236559139785,0.7311541692347718,0.07220725101644294,0.5866666666666667
1,1.4915254237288136,0.9562740019435223,0.11709650307967112,0.8073394495412844
2,1.8333333333333333,1.286883134295531,0.15974205931124041,1.0864197530864197
3,2.3157894736842106,1.6565922853239843,0.211366891564948,1.375
4,3.52,2.0376325144439833,0.2848379923935797,1.7254901960784315
5,4.631578947368421,2.5188913270209823,0.43602980040540495,2.046511627906977
6,4.888888888888888,3.072082557465053,0.49723015896944095,2.5142857142857142
7,5.176470588235294,3.5531434467583454,0.4761742095674085,2.933333333333333
8,6.76923076923077,3.931898668798037,0.5377787407684889,3.384615384615385
9,8.0,4.526306311798908,0.8078447454439669,3.6666666666666665
10,9.777777777777777,5.372833526122999,1.2073539909777347,4.19047619047619
11,9.777777777777777,6.484347769877184,1.3253197764140947,4.888888888888888
12,11.0,7.373656898656897,1.2435631512385155,5.866666666666666
13,11.0,8.061995115995117,1.0653739853401525,6.285714285714286
14,14.666666666666666,8.84922222222222,1.2029139055632911,7.333333333333333
15,14.666666666666666,9.55463492063492,1.092312106713629,8.0
16,14.666666666666666,9.98538095238095,1.0491148963577042,8.8
17,14.666666666666666,10.467634920634918,1.1523941665909039,8.8
18,14.666666666666666,11.548253968253967,1.5861081545258393,9.777777777777777
19,14.666666666666666,12.416904761904764,1.6362634934369977,11.0
20,17.6,13.09942857142857,1.6568233517933102,11.0
21,17.6,13.656761904761902,1.4824842299544005,11.0
22,17.6,14.383809523809525,1.2723720415998216,12.571428571428571
23,17.6,15.261714285714284,1.2234181178797643,12.571428571428571
24,17.6,15.942666666666664,1.454220524313055,14.666666666666666
25,17.6,16.48533333333333,1.4238002356760284,14.666666666666666
26,17.6,17.042666666666666,1.1507493210947386,14.666666666666666
27,17.6,17.511999999999997,0.500389181870805,14.666666666666666
28,17.6,17.599999999999994,7.105427357601002e-15,17.6
29,17.6,17.599999999999994,7.105427357601002e-15,17.6
30,17.6,17.599999999999994,7.105427357601002e-15,17.6
31,17.6,17.599999999999994,7.105427357601002e-15,17.6
32,17.6,17.599999999999994,7.105427357601002e-15,17.6
33,17.6,17.599999999999994,7.105427357601002e-15,17.6
34,17.6,17.599999999999994,7.105427357601002e-15,17.6
35,17.6,17.599999999999994,7.105427357601002e-15,17.6
36,17.6,17.599999999999994,7.105427357601002e-15,17.6
37,17.6,17.599999999999994,7.105427357601002e-15,17.6
38,17.6,17.599999999999994,7.105427357601002e-15,17.6
39,17.6,17.599999999999994,7.105427357601002e-15,17.6
40,17.6,17.599999999999994,7.105427357601002e-15,17.6
41,17.6,17.599999999999994,7.105427357601002e-15,17.6
42,17.6,17.599999999999994,7.105427357601002e-15,17.6
43,17.6,17.599999999999994,7.105427357601002e-15,17.6
44,17.6,17.599999999999994,7.105427357601002e-15,17.6
45,17.6,17.599999999999994,7.105427357601002e-15,17.6
46,17.6,17.599999999999994,7.105427357601002e-15,17.6
47,17.6,17.599999999999994,7.105427357601002e-15,17.6
48,17.6,17.599999999999994,7.105427357601002e-15,17.6
49,17.6,17.599999999999994,7.105427357601002e-15,17.6
50,17.6,17.599999999999994,7.105427357601002e-15,17.6
51,17.6,17.599999999999994,7.105427357601002e-15,17.6
52,17.6,17.599999999999994,7.105427357601002e-15,17.6
53,17.6,17.599999999999994,7.105427357601002e-15,17.6
54,17.6,17.599999999999994,7.105427357601002e-15,17.6
55,17.6,17.599999999999994,7.105427357601002e-15,17.6
56,17.6,17.599999999999994,7.105427357601002e-15,17.6
57,17.6,17.599999999999994,7.105427357601002e-15,17.6
58,17.6,17.599999999999994,7.105427357601002e-15,17.6
59,17.6,17.599999999999994,7.105427357601002e-15,17.6
60,17.6,17.599999999999994,7.105427357601002e-15,17.6
61,17.6,17.599999999999994,7.105427357601002e-15,17.6
62,17.6,17.599999999999994,7.105427357601002e-15,17.6
63,17.6,17.599999999999994,7.105427357601002e-15,17.6
64,17.6,17.599999999999994,7.105427357601002e-15,17.6
65,17.6,17.599999999999994,7.105427357601002e-15,17.6
66,17.6,17.599999999999994,7.105427357601002e-15,17.6
67,17.6,17.599999999999994,7.105427357601002e-15,17.6
68,17.6,17.599999999999994,7.105427357601002e-15,17.6
69,17.6,17.599999999999994,7.105427357601002e-15,17.6
70,17.6,17.599999999999994,7.105427357601002e-15,17.6
71,17.6,17.599999999999994,7.105427357601002e-15,17.6
72,17.6,17.599999999999994,7.105427357601002e-15,17.6
73,17.6,17.599999999999994,7.105427357601002e-15,17.6
74,17.6,17.599999999999994,7.105427357601002e-15,17.6
75,17.6,17.599999999999994,7.105427357601002e-15,17.6
76,17.6,17.599999999999994,7.105427357601002e-15,17.6
77,17.6,17.599999999999994,7.105427357601002e-15,17.6
78,17.6,17.599999999999994,7.105427357601002e-15,17.6
79,17.6,17.599999999999994,7.105427357601002e-15,17.6
80,17.6,17.599999999999994,7.105427357601002e-15,17.6
81,17.6,17.599999999999994,7.105427357601002e-15,17.6
82,17.6,17.599999999999994,7.105427357601002e-15,17.6
83,17.6,17.599999999999994,7.105427357601002e-15,17.6
84,17.6,17.599999999999994,7.105427357601002e-15,17.6
85,17.6,17.599999999999994,7.105427357601002e-15,17.6
86,17.6,17.599999999999994,7.105427357601002e-15,17.6
87,17.6,17.599999999999994,7.105427357601002e-15,17.6
88,17.6,17.599999999999994,7.105427357601002e-15,17.6
89,17.6,17.599999999999994,7.105427357601002e-15,17.6
90,17.6,17.599999999999994,7.105427357601002e-15,17.6
91,17.6,17.599999999999994,7.105427357601002e-15,17.6
92,17.6,17.599999999999994,7.105427357601002e-15,17.6
93,17.6,17.599999999999994,7.105427357601002e-15,17.6
94,17.6,17.599999999999994,7.105427357601002e-15,17.6
95,17.6,17.599999999999994,7.105427357601002e-15,17.6
96,17.6,17.599999999999994,7.105427357601002e-15,17.6
97,17.6,17.599999999999994,7.105427357601002e-15,17.6
98,17.6,17.599999999999994,7.105427357601002e-15,17.6
99,17.6,17.599999999999994,7.105427357601002e-15,17.6
100,17.6,17.599999999999994,7.105427357601002e-15,17.6
101,17.6,17.599999999999994,7.105427357601002e-15,17.6
102,17.6,17.599999999999994,7.105427357601002e-15,17.6
103,17.6,17.599999999999994,7.105427357601002e-15,17.6
104,17.6,17.599999999999994,7.105427357601002e-15,17.6
105,17.6,17.599999999999994,7.105427357601002e-15,17.6
106,17.6,17.599999999999994,7.105427357601002e-15,17.6
107,17.6,17.599999999999994,7.105427357601002e-15,17.6
108,17.6,17.599999999999994,7.105427357601002e-15,17.6
109,17.6,17.599999999999994,7.105427357601002e-15,17.6
110,17.6,17.599999999999994,7.105427357601002e-15,17.6
111,17.6,17.599999999999994,7.105427357601002e-15,17.6
112,17.6,17.599999999999994,7.105427357601002e-15,17.6
113,17.6,17.599999999999994,7.105427357601002e-15,17.6
114,17.6,17.599999999999994,7.105427357601002e-15,17.6
115,17.6,17.599999999999994,7.105427357601002e-15,17.6
116,17.6,17.599999999999994,7.105427357601002e-15,17.6
117,17.6,17.599999999999994,7.105427357601002e-15,17.6
118,17.6,17.599999999999994,7.105427357601002e-15,17.6
119,17.6,17.599999999999994,7.105427357601002e-15,17.6
120,17.6,17.599999999999994,7.105427357601002e-15,17.6
121,17.6,17.599999999999994,7.105427357601002e-15,17.6
122,17.6,17.599999999999994,7.105427357601002e-15,17.6
123,17.6,17.599999999999994,7.105427357601002e-15,17.6
124,17.6,17.599999999999994,7.105427357601002e-15,17.6
125,17.6,17.599999999999994,7.105427357601002e-15,17.6
126,17.6,17.599999999999994,7.105427357601002e-15,17.6
127,17.6,17.599999999999994,7.105427357601002e-15,17.6
128,17.6,17.599999999999994,7.105427357601002e-15,17.6
129,17.6,17.599999999999994,7.105427357601002e-15,17.6
130,17.6,17.599999999999994,7.105427357601002e-15,17.6
131,17.6,17.599999999999994,7.105427357601002e-15,17.6
132,17.6,17.599999999999994,7.105427357601002e-15,17.6
133,17.6,17.599999999999994,7.105427357601002e-15,17.6
134,17.6,17.599999999999994,7.105427357601002e-15,17.6
135,17.6,17.599999999999994,7.105427357601002e-15,17.6
136,17.6,17.599999999999994,7.105427357601002e-15,17.6
137,17.6,17.599999999999994,7.105427357601002e-15,17.6
138,17.6,17.599999999999994,7.105427357601002e-15,17.6
139,17.6,17.599999999999994,7.105427357601002e-15,17.6
140,17.6,17.599999999999994,7.105427357601002e-15,17.6
141,17.6,17.599999999999994,7.105427357601002e-15,17.6
142,17.6,17.599999999999994,7.105427357601002e-15,17.6
143,17.6,17.599999999999994,7.105427357601002e-15,17.6
144,17.6,17.599999999999994,7.105427357601002e-15,17.6
145,17.6,17.599999999999994,7.105427357601002e-15,17.6
146,17.6,17.599999999999994,7.105427357601002e-15,17.6
147,17.6,17.599999999999994,7.105427357601002e-15,17.6
148,17.6,17.599999999999994,7.105427357601002e-15,17.6
149,17.6,17.599999999999994,7.105427357601002e-15,17.6
